date,avg_sentiment_score,open,close,high,low,volume,code
2016-12-15,-0.15384615384615385,3363.86,3340.43,3378.04,3327.14,114960660,hs300
2016-12-16,1.0,3335.36,3346.03,3356.29,3330.49,90775422,hs300
2016-12-19,-0.38461538461538464,3342.34,3328.98,3344.86,3325.0,81640678,hs300
2016-12-20,-0.375,3328.3,3309.06,3329.1,3289.27,87569592,hs300
2016-12-21,-0.8461538461538461,3313.75,3338.54,3342.48,3313.75,108254995,hs300
2016-12-22,0.16666666666666666,3335.12,3335.67,3340.36,3322.72,92277249,hs300
2016-12-23,-0.6,3333.4,3307.6,3334.89,3300.88,97444713,hs300
2016-12-26,-0.6428571428571429,3293.22,3322.4,3322.42,3267.05,89793982,hs300
2016-12-27,-0.3,3319.21,3316.39,3330.23,3315.83,75486359,hs300
2016-12-28,-0.5294117647058824,3315.75,3301.89,3320.55,3293.17,69000437,hs300
2016-12-29,-0.2857142857142857,3297.04,3297.76,3312.11,3288.1,70087923,hs300
2017-01-03,1.0,3313.95,3342.23,3345.26,3313.95,86567896,hs300
2017-01-04,0.2222222222222222,3340.56,3368.31,3369.57,3338.15,90050827,hs300
2017-01-05,1.0,3368.34,3367.79,3373.41,3361.46,88336357,hs300
2017-01-06,1.5,3366.85,3347.67,3368.87,3346.89,87459114,hs300
2017-01-09,-0.125,3345.75,3363.9,3366.22,3344.35,83707942,hs300
2017-01-10,0.09090909090909091,3361.64,3358.27,3370.51,3354.09,83819160,hs300
2017-01-11,-0.42857142857142855,3355.8,3334.5,3366.63,3334.3,91071438,hs300
2017-01-12,-0.125,3332.69,3317.62,3343.13,3315.96,81239135,hs300
2017-01-13,-0.05,3317.96,3319.91,3338.17,3309.37,84180589,hs300
2017-01-16,-0.3,3314.15,3319.45,3322.78,3264.21,157779135,hs300
2017-01-17,0.2857142857142857,3305.6,3326.36,3327.38,3292.2,69453328,hs300
2017-01-18,-0.13043478260869565,3323.34,3339.37,3350.96,3320.41,70623227,hs300
2017-01-19,-0.38461538461538464,3330.95,3329.29,3346.5,3324.68,66159808,hs300
2017-01-20,-0.8,3326.98,3354.89,3358.41,3326.37,65300462,hs300
2017-01-23,-0.5714285714285714,3359.05,3364.08,3378.74,3355.85,75557498,hs300
2017-01-24,-0.08333333333333333,3363.14,3364.45,3371.32,3355.9,66194226,hs300
2017-01-25,0.0,3361.66,3375.9,3376.44,3357.22,58376931,hs300
2017-01-26,-0.16666666666666666,3378.26,3387.96,3395.88,3378.26,65316647,hs300
2017-02-03,0.1,3390.93,3364.49,3392.48,3362.57,55188861,hs300
2017-02-06,-0.36363636363636365,3368.11,3373.21,3381.33,3358.75,68521360,hs300
2017-02-07,-0.5555555555555556,3371.77,3365.68,3376.71,3354.62,63754462,hs300
2017-02-08,-0.5555555555555556,3361.78,3383.29,3383.69,3347.43,75402879,hs300
2017-02-09,0.5,3381.9,3396.29,3406.59,3379.79,97558515,hs300
